"GR_keas","GR_keas_copy","C_keas","D_keas","GR_ori","GR_ori_copy","C_ori","D_ori","GR_fit","GR_fit_copy","C_fit","D_fit"
"0.0152","0.0152","40.0000225774","20.1769747986","","","","","0.0152","0.0152","112.0974651151","36.3448132879"
"0.0153","0.0153","40.0000203025","20.1699853665","","","","","0.0153","0.0153","111.6210537086","36.2918244938"
"0.0154","0.0154","40.0000182569","20.1632719746","","","","","0.0154","0.0154","111.1497509935","36.2394662339"
"0.0155","0.0155","40.0000164174","20.156823721","","","","","0.0155","0.0155","110.6834695452","36.1877269835"
"0.0156","0.0156","40.0000147632","20.1506301343","","","","","0.0156","0.0156","110.2221239861","36.136595501"
"0.0157","0.0157","40.0000132757","20.1446811568","","","","","0.0157","0.0157","109.7656309257","36.0860608194"
"0.0158","0.0158","40.0000119381","20.1389671279","","","","","0.0158","0.0158","109.313908902","36.0361122378"
"0.0159","0.0159","40.0000107353","20.1334787684","","","","","0.0159","0.0159","108.8668783245","35.9867393132"
"0.016","0.016","40.0000096536","20.1282071659","","","","","0.016","0.016","108.4244614203","35.937931853"
"0.0161","0.0161","40.0000086809","20.1231437598","","","","","0.0161","0.0161","107.9865821813","35.8896799071"
"0.0162","0.0162","40.0000078063","20.1182803275","","","","","0.0162","0.0162","107.5531663137","35.8419737609"
"0.0163","0.0163","40.0000070197","20.1136089713","","","","","0.0163","0.0163","107.1241411887","35.7948039283"
"0.0164","0.0164","40.0000063124","20.1091221054","","","","","0.0164","0.0164","106.6994357956","35.748161145"
"0.0165","0.0165","40.0000056764","20.1048124435","","","","","0.0165","0.0165","106.2789806959","35.7020363619"
"0.0166","0.0166","40.0000051045","20.1006729871","","","","","0.0166","0.0166","105.8627079794","35.6564207388"
"0.0167","0.0167","40.0000045902","20.0966970142","","","","","0.0167","0.0167","105.4505512215","35.6113056384"
"0.0168","0.0168","40.0000041277","20.0928780681","","","","","0.0168","0.0168","105.0424454421","35.5666826207"
"0.0169","0.0169","40.0000037118","20.0892099472","","","","","0.0169","0.0169","104.6383270657","35.5225434369"
"0.017","0.017","40.0000033378","20.0856866949","","","","","0.017","0.017","104.2381338831","35.4788800243"
"0.0171","0.0171","40.0000030015","20.0823025897","","","","","0.0171","0.0171","103.8418050142","35.4356845011"
"0.0172","0.0172","40.0000026991","20.0790521361","","","","","0.0172","0.0172","103.4492808718","35.3929491608"
"0.0173","0.0173","40.0000024271","20.0759300558","","","","","0.0173","0.0173","103.0605031273","35.3506664681"
"0.0174","0.0174","40.0000021826","20.0729312787","","","","","0.0174","0.0174","102.6754146763","35.3088290533"
"0.0175","0.0175","40.0000019627","20.0700509352","","","","","0.0175","0.0175","102.2939596069","35.2674297084"
"0.0176","0.0176","40.0000017649","20.0672843477","","","","","0.0176","0.0176","101.9160831674","35.2264613823"
"0.0177","0.0177","40.0000015871","20.0646270237","","","","","0.0177","0.0177","101.5417317363","35.1859171767"
"0.0178","0.0178","40.0000014272","20.0620746479","","","","","0.0178","0.0178","101.1708527927","35.1457903417"
"0.0179","0.0179","40.0000012834","20.0596230755","","","","","0.0179","0.0179","100.8033948873","35.106074272"
"0.018","0.018","40.0000011541","20.0572683253","","","","","0.018","0.018","100.4393076151","35.0667625031"
"0.0181","0.0181","40.0000010378","20.0550065735","","","","","0.0181","0.0181","100.0785415884","35.0278487072"
"0.0182","0.0182","40.0000009332","20.0528341472","","","","","0.0182","0.0182","99.7210484107","34.98932669"
"0.0183","0.0183","40.0000008392","20.0507475185","","","","","0.0183","0.0183","99.3667806517","34.9511903867"
"0.0184","0.0184","40.0000007546","20.048743299","","","","","0.0184","0.0184","99.0156918227","34.9134338591"
